game_id,configuration_file,round_id,trial_index,block,target,controlled,snd_value,snd_class,chat_mode,speaker_id,listener_id,context,sec_until_press,description,description_len,time_to_message,sec_until_click,response,correct
S797ayEWgFRoHkhdD,exp2_train_and_test_35.json,KWpzDRyRc5mmfwH5Y,1,0,page8-192.svg,False,0.6444444444444446,low,single-utterance-unidirectional,86,6,"['page7-166.svg', 'page6-107.svg', 'page4-98.svg', 'page6-175.svg', 'page7-127.svg', 'page8-192.svg', 'page7-20.svg', 'page5-190.svg', 'page2-20.svg', 'page6-109.svg']",10.0,a dog,2.0,12.0,"(24,)",page8-192.svg,True
S797ayEWgFRoHkhdD,exp2_train_and_test_35.json,2yyz4bKN2dJ7fm72g,29,4,page6-109.svg,False,1.0,high,single-utterance-unidirectional,86,6,"['page7-166.svg', 'page6-107.svg', 'page4-98.svg', 'page6-175.svg', 'page7-127.svg', 'page8-192.svg', 'page7-20.svg', 'page5-190.svg', 'page2-20.svg', 'page6-109.svg']",4.0,invisible superhero with cape,4.0,7.0,"(13,)",page6-109.svg,True
9YyFJHegRL4MxrjG2,exp2_train_and_test_3.json,b2JSnMMvhAcACEoxC,19,3,page2-86.svg,False,0.7777777777777777,low,single-utterance-unidirectional,43,232,"['page2-86.svg', 'page7-126.svg', 'page5-101.svg', 'page8-169.svg', 'page3-139.svg', 'page6-166.svg', 'page6-167.svg', 'page4-180.svg', 'page5-165.svg', 'page1-117.svg']",16.0,COUCH OR BED,3.0,21.0,"(33,)",page2-86.svg,True
79rpP8Nt3tok8t8t9,exp2_train_and_test_51.json,vTmPuP3AfqrB7xPSM,1,0,page8-246.svg,False,1.0,high,single-utterance-unidirectional,141,93,"['page7-127.svg', 'page2-20.svg', 'page7-157.svg', 'page8-246.svg', 'page8-58.svg', 'page7-15.svg', 'page6-167.svg', 'page4-155.svg', 'page5-190.svg', 'page7-125.svg']",12.0,This one looks really close to a swastika,8.0,40.0,"(47,)",page8-246.svg,True
BfydDFFrwAkiowHcJ,exp2_train_and_test_55.json,pyWSb4KL2CKd3rwJt,15,2,page3-61.svg,False,1.0,high,single-utterance-unidirectional,199,219,"['page1-77.svg', 'page3-61.svg', 'page3-59.svg', 'page4-241.svg', 'page5-139.svg', 'page6-107.svg', 'page4-244.svg', 'page7-155.svg', 'page5-128.svg', 'page4-98.svg']",3.0,weird shape bench,3.0,10.0,"(16,)",page5-139.svg,False
e5ZTHXY7C4QRYKDvE,exp2_train_and_test_50.json,HKNERMm4mzKDiNzrA,25,4,page6-31.svg,False,0.5333333333333334,low,single-utterance-unidirectional,92,80,"['page3-21.svg', 'page2-136.svg', 'page5-56.svg', 'page8-169.svg', 'page6-204.svg', 'page1-95.svg', 'page6-31.svg', 'page8-58.svg', 'page2-165.svg', 'page1-175.svg']",,,,,,,
8BHQ9J4s9iJXhh9oM,exp2_train_and_test_20.json,b64ZGcB2J96P6KuhM,30,5,page7-157.svg,False,0.6037037037037036,low,single-utterance-unidirectional,217,147,"['page6-166.svg', 'page7-157.svg', 'page6-31.svg', 'page5-174.svg', 'page3-70.svg', 'page8-183.svg', 'page5-153.svg', 'page7-125.svg', 'page5-84.svg', 'page3-66.svg']",6.0,hot air balloon with triangle bottom,6.0,17.0,"(24,)",page7-157.svg,True
ZrWCQ66uhbQhnQkMT,exp2_train_and_test_45.json,YrJ6vz9P6zjTGr6SM,23,3,page7-115.svg,False,0.6,low,single-utterance-unidirectional,95,182,"['page7-144.svg', 'page7-22.svg', 'page7-115.svg', 'page9-34.svg', 'page6-31.svg', 'page8-22.svg', 'page2-36.svg', 'page7-216.svg', 'page1-185.svg', 'page7-107.svg']",,,,,,,
6sdzX3zNscvD52sKe,exp2_train_and_test_32.json,pgmHFuyfFZ3GdfHux,7,1,page7-157.svg,False,0.6037037037037036,low,single-utterance-unidirectional,158,33,"['page4-232.svg', 'page5-45.svg', 'page7-115.svg', 'page5-155.svg', 'page2-131.svg', 'page7-155.svg', 'page7-157.svg', 'page8-217.svg', 'page5-233.svg', 'page1-34.svg']",11.0,Small triangle with a large 5-sided shape balanced on top,10.0,34.0,"(51,)",page7-157.svg,True
GSQgqtjTqck8mWmDr,exp2_train_and_test_26.json,Yu59nMzvtgcZatG5G,16,2,page1-77.svg,False,0.6833333333333333,low,single-utterance-unidirectional,137,62,"['page1-34.svg', 'page1-77.svg', 'page6-123.svg', 'page1-149.svg', 'page3-59.svg', 'page5-128.svg', 'page2-86.svg', 'page2-165.svg', 'page2-133.svg', 'page2-34.svg']",4.0,knife in a sheath,4.0,11.0,"(13,)",page1-77.svg,True
STLPBTLJ9hMuYBr6G,exp2_train_and_test_1.json,J2sjCfnm8BtY3NsKT,30,5,page7-144.svg,False,1.0,high,single-utterance-unidirectional,58,31,"['page9-34.svg', 'page7-115.svg', 'page4-98.svg', 'page7-177.svg', 'page7-35.svg', 'page6-245.svg', 'page7-144.svg', 'page2-131.svg', 'page5-75.svg', 'page6-204.svg']",5.0,looks like a man'd head silhouette with a gigantic nose,10.0,27.0,"(30,)",page7-144.svg,True
nwJ4KqKaffjjA2CYD,exp2_train_and_test_5.json,o6ZRJvQ7F6fs4hBsG,18,3,page7-20.svg,False,1.0,high,single-utterance-unidirectional,94,28,"['page7-155.svg', 'page3-21.svg', 'page3-33.svg', 'page5-107.svg', 'page7-166.svg', 'page3-52.svg', 'page7-20.svg', 'page7-40.svg', 'page6-228.svg', 'page5-40.svg']",4.0,Building slanted to the right,5.0,9.0,"(13,)",page7-20.svg,True
6uGZNSLWcxNmt3EY6,exp2_train_and_test_43.json,yxcbnDpkSQXqn2qRj,16,2,page9-40.svg,False,1.0,high,single-utterance-unidirectional,14,223,"['page6-122.svg', 'page9-40.svg', 'page7-226.svg', 'page7-125.svg', 'page8-246.svg', 'page6-160.svg', 'page7-145.svg', 'page5-101.svg', 'page8-183.svg', 'page8-21.svg']",5.0,pillar,1.0,9.0,"(12,)",page9-40.svg,True
qid3BsLiutsLyxdnC,exp2_train_and_test_30.json,HxNoBFgguSGBTZCFe,12,2,page6-245.svg,False,1.0,high,single-utterance-unidirectional,117,56,"['page1-172.svg', 'page6-166.svg', 'page6-245.svg', 'page4-155.svg', 'page5-101.svg', 'page3-201.svg', 'page8-156.svg', 'page6-21.svg', 'page2-34.svg', 'page2-136.svg']",7.0,It looks like a triangle with a point in the top left with cutouts,14.0,35.0,"(56,)",page5-101.svg,False
td9LbRmrtawkbpDTK,exp2_train_and_test_38.json,sFJu5yc9rzZt5kobw,21,3,page4-197.svg,False,1.0,high,single-utterance-unidirectional,101,23,"['page6-71.svg', 'page6-135.svg', 'page4-197.svg', 'page2-131.svg', 'page7-41.svg', 'page6-186.svg', 'page6-109.svg', 'page4-98.svg', 'page7-15.svg', 'page6-208.svg']",11.0,head on pillow,3.0,13.0,"(23,)",page4-197.svg,True
ceP5wyHBSp9k5qtZL,exp2_train_and_test_52.json,RbJSMKQ2HFKLL6co4,34,5,page3-33.svg,False,0.6111111111111112,low,single-utterance-unidirectional,11,142,"['page4-128.svg', 'page7-107.svg', 'page7-113.svg', 'page3-33.svg', 'page2-100.svg', 'page7-166.svg', 'page6-206.svg', 'page1-149.svg', 'page6-160.svg', 'page2-140.svg']",28.0,three mountains and square pacman on top,7.0,35.0,"(48,)",page3-33.svg,True
WrqiaWaE2zELAL6fT,exp2_train_and_test_44.json,n9K57BK36aYWtErRQ,16,2,page6-226.svg,False,1.0,high,single-utterance-unidirectional,207,194,"['page8-22.svg', 'page5-101.svg', 'page6-226.svg', 'page5-190.svg', 'page2-34.svg', 'page4-197.svg', 'page7-20.svg', 'page6-53.svg', 'page8-21.svg', 'page4-96.svg']",4.0,2 squares on side with tube out of one,9.0,23.0,"(27,)",page6-226.svg,True
NkobbfJ9t6XFmY5Hu,exp2_train_and_test_0.json,dxaTtEibft9LfjEyC,11,1,page8-247.svg,True,0.6333333333333334,low,single-utterance-unidirectional,26,204,"['page1-117.svg', 'page6-206.svg', 'page1-30.svg', 'page7-81.svg', 'page9-39.svg', 'page8-247.svg', 'page2-140.svg', 'page6-228.svg', 'page1-185.svg', 'page3-33.svg']",16.0,It is a very weird shape that looks like a dog or some similar animal. It looks like it has a head at the top left of the image,29.0,42.0,,,
9hhXYLoXnLqkC6FuL,exp2_train_and_test_17.json,Td2smfkjH6PaHeE74,25,4,page7-15.svg,False,0.5935185185185186,low,single-utterance-unidirectional,183,136,"['page7-155.svg', 'page7-144.svg', 'page8-221.svg', 'page8-22.svg', 'page6-208.svg', 'page1-107.svg', 'page6-1.svg', 'page5-121.svg', 'page7-41.svg', 'page7-15.svg']",12.0,mountains,1.0,15.0,"(22,)",page7-15.svg,True
a9ZsRASKMu4YPRsHA,exp2_train_and_test_42.json,ynSu9QJeQHJBvhMZe,23,3,page8-58.svg,False,0.7259259259259259,low,single-utterance-unidirectional,50,150,"['page6-226.svg', 'page5-96.svg', 'page6-206.svg', 'page7-53.svg', 'page6-71.svg', 'page7-73.svg', 'page8-159.svg', 'page5-128.svg', 'page8-58.svg', 'page1-150.svg']",4.0,person walking right,3.0,10.0,"(14,)",page8-58.svg,True
Ciw85tqzkYhgm7gfd,exp2_train_and_test_16.json,FzTcPyvuzzWTonhxg,32,5,page1-149.svg,False,1.0,high,single-utterance-unidirectional,108,90,"['page4-96.svg', 'page1-149.svg', 'page3-201.svg', 'page6-167.svg', 'page1-77.svg', 'page1-133.svg', 'page7-20.svg', 'page4-5.svg', 'page1-175.svg', 'page7-4.svg']",7.0,a pillar with a triangle base and an upside down triangles in the middle and top,16.0,36.0,"(52,)",page1-149.svg,True
rgK8Wp6kkXkSWAzkF,exp2_train_and_test_23.json,mcZrMgxCxjxRxPAew,0,0,page7-10.svg,False,0.7611111111111111,low,single-utterance-unidirectional,87,69,"['page1-128.svg', 'page7-10.svg', 'page5-56.svg', 'page6-226.svg', 'page6-160.svg', 'page1-133.svg', 'page6-204.svg', 'page5-188.svg', 'page7-116.svg', 'page8-248.svg']",13.0,a trophy,2.0,17.0,"(25,)",page7-10.svg,True
ix7nCebmqDhnteL7t,exp2_train_and_test_11.json,A8tmn6ba4yYGXFLtJ,33,5,page1-133.svg,False,0.5444444444444445,low,single-utterance-unidirectional,129,180,"['page6-167.svg', 'page1-77.svg', 'page4-96.svg', 'page1-175.svg', 'page7-20.svg', 'page1-149.svg', 'page1-133.svg', 'page4-5.svg', 'page3-201.svg', 'page7-4.svg']",5.0,It looks like a bullet and is next to the castle thing,12.0,25.0,"(44,)",page1-77.svg,False
6sdzX3zNscvD52sKe,exp2_train_and_test_32.json,EJGZ7KneC4WFM2Yz5,2,0,page8-217.svg,True,0.9925925925925926,high,single-utterance-unidirectional,158,33,"['page4-232.svg', 'page5-45.svg', 'page7-115.svg', 'page5-155.svg', 'page2-131.svg', 'page7-155.svg', 'page7-157.svg', 'page8-217.svg', 'page5-233.svg', 'page1-34.svg']",39.0,,,,,,
HMLZ7yLtqizrGXToe,exp2_train_and_test_58.json,wgwurQRK6DDsuy8Cc,3,0,page4-195.svg,False,1.0,high,single-utterance-unidirectional,127,68,"['page4-195.svg', 'page6-31.svg', 'page4-241.svg', 'page7-41.svg', 'page8-38.svg', 'page5-233.svg', 'page3-205.svg', 'page7-226.svg', 'page9-40.svg', 'page5-84.svg']",11.0,It looks like a penknife,5.0,23.0,"(39,)",page4-195.svg,True
