game_id,round_id,trial_index,block,target,controlled,snd_value,snd_class,chat_mode,speaker_id,listener_id,context,sec_until_press,description,description_len,time_to_message,sec_until_click,response,correct
ybLJmKm4ZdQZgZ3Rg,7hXc7y4djs3jxZQYd,12,2,page2-140.svg,False,1.0,high,single-utterance-unidirectional,68,102,"['page8-247.svg', 'page6-206.svg', 'page1-117.svg', 'page2-140.svg', 'page1-30.svg', 'page9-39.svg', 'page1-185.svg', 'page3-33.svg', 'page6-228.svg', 'page7-81.svg']",5.0,Canoe with rectangle and square on right,7.0,15.0,"(26,)",page2-140.svg,True
uYTuYuJ9QDfA83X3a,bPftLgnpjr6TjaiNX,16,2,page5-121.svg,False,0.9925925925925926,high,single-utterance-unidirectional,220,191,"['page5-121.svg', 'page3-33.svg', 'page6-52.svg', 'page7-44.svg', 'page5-63.svg', 'page2-34.svg', 'page6-155.svg', 'page7-115.svg', 'page6-175.svg', 'page7-113.svg']",5.0,ninja star,2.0,8.0,"(12,)",page5-121.svg,True
KCgt2qJ7K79xySLRm,EyznsomJTbjzSD8zE,22,3,page6-206.svg,False,0.7333333333333333,low,single-utterance-unidirectional,49,53,"['page1-48.svg', 'page1-133.svg', 'page9-40.svg', 'page8-38.svg', 'page7-44.svg', 'page-F.svg', 'page5-45.svg', 'page4-195.svg', 'page6-206.svg', 'page7-55.svg']",6.0,easter island,2.0,8.0,"(12,)",page6-206.svg,True
KJeMAhHTjaCs9sMpk,PxjntwTPFSWvPTXHB,1,0,page6-208.svg,True,1.0,high,single-utterance-unidirectional,86,25,"['page5-63.svg', 'page6-208.svg', 'page4-128.svg', 'page5-71.svg', 'page3-33.svg', 'page6-52.svg', 'page5-84.svg', 'page5-85.svg', 'page4-155.svg', 'page7-225.svg']",14.0,small boat sailing to the right,6.0,26.0,,,
vMHoRDsLSDf4mqn9X,uMFbuYdSo5pFyagsi,23,3,page7-29.svg,False,1.0,high,single-utterance-unidirectional,75,169,"['page3-70.svg', 'page3-12.svg', 'page7-29.svg', 'page1-77.svg', 'page6-23.svg', 'page7-73.svg', 'page3-33.svg', 'page5-65.svg', 'page4-190.svg', 'page5-40.svg']",7.0,jagged edges facing the left,5.0,20.0,"(23,)",page7-29.svg,True
FvSgGZcaE85QgqXam,sDWpZb3npvECxSEn2,26,4,page5-40.svg,True,0.7527777777777778,low,single-utterance-unidirectional,71,170,"['page5-40.svg', 'page7-107.svg', 'page8-58.svg', 'page2-36.svg', 'page6-124.svg', 'page3-33.svg', 'page5-45.svg', 'page4-197.svg', 'page1-150.svg', 'page5-153.svg']",9.0,"3 stacked shapes, small square on top, then larger rectangle",10.0,44.0,"(51,)",page5-40.svg,True
vMHoRDsLSDf4mqn9X,wPCPMthr5XvRmynLH,8,1,page6-23.svg,False,0.7776190476190477,low,single-utterance-unidirectional,75,169,"['page3-70.svg', 'page3-12.svg', 'page7-29.svg', 'page1-77.svg', 'page6-23.svg', 'page7-73.svg', 'page3-33.svg', 'page5-65.svg', 'page4-190.svg', 'page5-40.svg']",17.0,person facing the left pushing a wall,7.0,22.0,"(33,)",page6-23.svg,True
MigdGFwdtEjpqF2kr,AbvFKWHmkeQXZTgEC,13,2,page1-186.svg,False,0.4972222222222222,low,single-utterance-unidirectional,194,92,"['page7-186.svg', 'page7-36.svg', 'page1-133.svg', 'page1-186.svg', 'page7-126.svg', 'page6-186.svg', 'page2-165.svg', 'page6-52.svg', 'page2-136.svg', 'page6-219.svg']",3.0,fireplace,1.0,5.0,"(23,)",page1-186.svg,True
YBd2adukpGvYkJvtG,47jFqWCXPvvzNgPg5,0,0,page6-121.svg,True,1.0,high,single-utterance-unidirectional,41,234,"['page7-202.svg', 'page8-183.svg', 'page7-79.svg', 'page6-121.svg', 'page1-133.svg', 'page6-206.svg', 'page7-20.svg', 'page6-135.svg', 'page1-77.svg', 'page4-5.svg']",6.0,A stick,2.0,8.0,"(31,)",page6-121.svg,True
PtNMvuqEYD8d8uyms,tHejXk5TozCztpcRK,16,2,page3-33.svg,False,0.6111111111111112,low,single-utterance-unidirectional,221,97,"['page8-247.svg', 'page6-206.svg', 'page1-117.svg', 'page2-140.svg', 'page1-30.svg', 'page9-39.svg', 'page1-185.svg', 'page3-33.svg', 'page6-228.svg', 'page7-81.svg']",14.0,3 little peaks with a block behind,7.0,29.0,"(33,)",page3-33.svg,True
